Day,Question,Option A,Option B,Option C,Option D,Correct Answer,Rationale
1,"What does HTML stand for?","Hyper Tool Markup Language","Hyper Text Transfer Language","Hyper Text Markup Language","High-Level Text Language","C","HTML is the standard language for creating the structure of web pages."
1,"Which tag is the root element of any HTML page?","<body>","<head>","<html>","<document>","C","The <html> tag wraps all content on the entire page."
1,"What is the purpose of the <!DOCTYPE html> declaration?","It defines the title of the document.","It tells the browser what version of HTML the page is written in.","It creates a hyperlink.","It styles the page.","B","<!DOCTYPE> is an instruction that helps the browser render the page correctly."
1,"Which element contains all the meta-information and links for an HTML document?","<body>","<header>","<section>","<head>","D","The <head> element is a container for metadata and is placed between the <html> and <body> tags."
1,"What is the main purpose of the <body> tag?","To define the document's header.","To contain all the visible content of a web page.","To link external stylesheets.","To define a section of the document.","B","Everything visible to the user—headings, paragraphs, images—goes inside the <body>."
1,"Which tag is used to define the title that appears in the browser tab?","<head>","<meta>","<title>","<header>","C","The text inside the <title> tag is displayed on the browser's title bar or tab."
1,"How do you write a comment in HTML?","// This is a comment","<!-- This is a comment -->","/* This is a comment */","# This is a comment","B","HTML comments are not displayed by the browser and are useful for notes in the code."
1,"What does the 'charset' attribute in <meta charset=""UTF-8""> specify?","The character set for the HTML document.","The language of the document.","The author of the document.","The type of CSS used.","A","UTF-8 is a universal character set that includes almost all characters from human languages."
1,"Which element is considered the main heading of a page?","<h6>","<heading>","<h1>","<head>","C","<h1> should be used for the main title of a page's content, and there should generally only be one."
1,"How do you link an external CSS file to an HTML document?","<style src=""style.css"">","<script href=""style.css"">","<link rel=""stylesheet"" href=""style.css"">","<css>style.css</css>","C","The <link> tag, placed in the <head>, is the correct way to link to external style sheets."
1,"Which of these is NOT a valid tag?","<html>","<p>","<paragraph>","<body>","C","The tag for a paragraph is <p>, not <paragraph>."
1,"What is the function of a browser's rendering engine?","To execute JavaScript code.","To parse HTML and CSS and display the formatted content.","To connect to the internet.","To store user data.","B","The rendering engine (like Blink or Gecko) turns the code you write into a visual webpage."
1,"Which tag creates a simple paragraph of text?","<p>","<text>","<para>","<block>","A","<p> stands for 'paragraph' and is the standard tag for text blocks."
1,"Where in the HTML document should the <title> tag be placed?","Inside the <body> tag.","Inside the <footer> tag.","Inside the <head> tag.","At the very top, before <!DOCTYPE>.","C","The <title> is metadata and belongs in the <head> section."
1,"What is a favicon?","A type of font.","A small icon displayed in the browser tab.","A form validation feature.","A CSS framework.","B","A favicon helps brand your website and makes it recognizable in a list of browser tabs."
1,"How do you properly close the <p> tag?","</p>","<p/>","<close p>","It doesn't need to be closed.","A","Most HTML tags come in pairs with an opening and a closing tag (e.g., <p> and </p>)."
1,"Which of these tags is a 'container' for other tags?","<img>","<br>","<hr>","<div>","D","A <div> (division) is a generic container used to group other elements."
1,"An HTML file must be saved with which extension?",".txt",".doc",".html or .htm",".web","C","Browsers recognize .html or .htm files as web pages."
1,"What is the purpose of the <meta name=""viewport""> tag?","To set the background color.","To control the page's dimensions and scaling for different devices.","To define keywords for SEO.","To automatically refresh the page.","B","The viewport meta tag is crucial for creating responsive websites that look good on mobile devices."
1,"True or False: HTML is a programming language.","True","False","","","B","HTML is a markup language, used for structuring content, not for performing logic like a programming language."
1,"What is the correct structure of a basic HTML5 document?","<html><head></head><body></body></html>","<!DOCTYPE html><html><head></head><body></body></html>","<!DOCTYPE html><head><body></body></head>","<body><head></head><html></html></body>","B","A valid HTML5 document starts with the doctype, followed by the html, head, and body tags in order."
1,"How do you link a JavaScript file named 'script.js' to your HTML?","<link rel=""script"" href=""script.js"">","<script src=""script.js""></script>","<javascript href=""script.js""></javascript>","<js>script.js</js>","B","The <script> tag is used to embed or refer to executable scripts."
1,"What is the default character encoding for HTML5?","ASCII","ISO-8859-1","UTF-8","Windows-1252","C","UTF-8 is the standard and recommended character encoding for HTML5."
1,"A webpage can have multiple <body> tags.","True","False","","","B","An HTML document can only have one <body> tag."
1,"What does 'rendering' mean in the context of a browser?","Sending a file to the printer.","Translating code into a visual webpage.","Saving a file.","Checking for spelling errors.","B","Rendering is the process of drawing the text, images, and other elements on the screen."
2,"Which tag would you use to create the largest heading?","<h7>","<h1>","<h6>","<heading size=""large"">","B","<h1> represents the most important heading, and browsers display it with the largest default font size."
2,"How do you create an unordered list (a bulleted list)?","<ol>","<list>","<ul>","<dl>","C","<ul> stands for 'unordered list' and uses <li> for each list item."
2,"Which tag is used to emphasize text, often displayed in italics by default?","<italic>","<b>","<em>","<strong>","C","<em> stands for 'emphasis' and indicates semantic importance. While it looks italic, the meaning is what's key."
2,"What is the purpose of the 'alt' attribute on an <img> tag?","To provide a caption for the image.","To provide alternative text for screen readers or if the image fails to load.","To set the alignment of the image.","To link the image to another page.","B","'alt' text is crucial for accessibility and SEO."
2,"Which tag is used for creating an ordered list (a numbered list)?","<ol>","<ul>","<li>","<numlist>","A","<ol> stands for 'ordered list' and automatically numbers its <li> items."
2,"Which tag is used to define a single item within a list?","<item>","<point>","<li>","<dd>","C","<li> stands for 'list item' and is used within both <ul> and <ol>."
2,"How do you display a video file named 'movie.mp4' on a webpage?","<media src=""movie.mp4"">","<video src=""movie.mp4""></video>","<movie>movie.mp4</movie>","<video>movie.mp4</video>","B","The <video> tag is the standard way to embed video content."
2,"To make video or audio controls visible to the user, what attribute should you add?","show","visible","controls","player","C","The boolean 'controls' attribute adds play, pause, and volume controls."
2,"Which tag represents text that is 'strongly important' and is usually displayed as bold?","<b>","<bold>","<strong>","<em>","C","<strong> indicates that its content has strong importance, seriousness, or urgency."
2,"How do you insert an image named 'logo.png' into a page?","<img href=""logo.png"">","<image src=""logo.png"">","<img src=""logo.png"" alt=""logo"">","<picture>logo.png</picture>","C","The <img> tag is used for images, and the 'src' attribute points to the image file. 'alt' text should always be included."
2,"What is the purpose of the <blockquote> tag?","To highlight a short quote.","To define a section that is quoted from another source.","To make text bold.","To create a list of quotes.","B","<blockquote> is used for longer, block-level quotations."
2,"Can you put a <ul> inside another <ul>?","Yes, to create a nested list.","No, it's invalid HTML.","Only if you use a <ol> in between.","Only if you use a <div> wrapper.","A","Nesting lists is a common and valid way to create sub-items."
2,"Which tag is used to display a block of computer code?","<pre>","<code>","<samp>","All of the above.","D","<code> is for inline code, while <pre> preserves whitespace for code blocks. Both are often used together."
2,"What is the difference between <b> and <strong>?","There is no difference.","<b> is for bolding, <strong> is for italics.","<b> is a style element, while <strong> is a semantic element indicating importance.","<b> is newer than <strong>.","C","While they look the same, <strong> gives the text semantic meaning, which is better for accessibility."
2,"Which element should you use to provide multiple sources for a video for browser compatibility?","<source>","<alternative>","<option>","<track>","A","The <source> tag can be placed inside a <video> or <audio> element to specify multiple media files."
2,"What does the <hr> tag do?","Creates a heading row in a table.","Defines a horizontal rule or thematic break.","Highlights text.","Creates a hyperlink.","B","The <hr> tag creates a horizontal line, often used to separate content."
2,"Which of these is NOT a valid heading tag?","<h1>","<h3>","<h5>","<h7>","D","Heading tags only go from <h1> to <h6>."
2,"The <audio> tag is used for...","Embedding sound content in documents.","Adding author information.","Animating text.","Auto-formatting text.","A","Similar to the <video> tag, <audio> is for embedding sounds."
2,"What is the primary benefit of using the <picture> element?","It lets you add a border to an image.","It allows you to provide different image sources based on screen size or device capabilities.","It groups multiple pictures into a gallery.","It automatically compresses images.","B","The <picture> element gives developers more flexibility in specifying image resources for responsive designs."
2,"Which element would you use to define an abbreviation or an acronym, like 'HTML'?","<abbr>","<acronym>","<def>","<info>","A","The <abbr> tag can be used with a 'title' attribute to show the full expansion on hover."
2,"How would you create a list that starts at the number 5?","<ol start=""5"">","<ol value=""5"">","<ol begin=""5"">","<ol list-start=""5"">","A","The 'start' attribute on an <ol> tag specifies the starting value of the first item."
2,"Which attribute is required for an <img> tag to be valid?","href","src","alt","title","B","The 'src' (source) attribute is mandatory as it specifies the path to the image to be displayed."
2,"What is the semantic meaning of the <em> tag?","It makes text bold.","It marks text that has stress emphasis.","It indicates an error.","It defines a small piece of code.","B","'em' stands for emphasis. Screen readers may use a different tone of voice for text within this tag."
2,"To play a video file automatically when the page loads, which attribute should you use?","<video autoplay>","<video play>","<video start>","<video autorun>","A","The 'autoplay' attribute will start the video automatically. Note: Many browsers now block autoplay with sound."
2,"Which element creates a line break?","<lb>","<break>","<br>","<newline>","C","The <br> tag inserts a single line break and is an empty tag (it has no closing tag)."
3,"Which tag is used to create a hyperlink?","<link>","<a>","<href>","<hyperlink>","B","The <a> tag, which stands for 'anchor', is used to define hyperlinks."
3,"Which attribute of the <a> tag specifies the URL of the page the link goes to?","src","url","href","link","C","'href' stands for 'hypertext reference' and contains the destination address."
3,"How do you create a link that opens in a new browser tab?","<a href=""..."" target=""_blank"">","<a href=""..."" target=""_new"">","<a href=""..."" window=""new"">","<a href=""..."" open=""new"">","A","target=""_blank"" instructs the browser to open the link in a new tab or window."
3,"What is an 'anchor link'?","A link that downloads a file.","A link to an external website.","A link that jumps to a specific section on the same page.","A link that is broken.","C","Anchor links are used for navigating within a single document."
3,"To create an anchor link, what attribute must you first add to the destination element?","name","id","anchor","target","B","You give the destination element a unique 'id', like <h2 id=""section2"">."
3,"How would you create a link that points to an element with id=""C4""?","<a link=""#C4"">","<a href=""C4"">","<a href=""#C4"">","<a anchor=""C4"">","C","The '#' symbol followed by the id value is used in the href to target an anchor."
3. ,"What is the purpose of the 'rel=""nofollow""' attribute on a link?","It prevents the link from being clicked.","It tells search engines not to follow or pass authority to the linked page.","It opens the link in a new tab.","It makes the link's text bold.","B","'nofollow' is an instruction for search engine crawlers."
3. ,"How do you create a link that starts composing an email to 'test@example.com'?","<a href=""email:test@example.com"">","<a href=""mailto:test@example.com"">","<a link=""mailto:test@example.com"">","<a href=""send:test@example.com"">","B","The 'mailto:' URI scheme is used to create links that open the user's default email client."
3. ,"What is an 'internal link'?","A link to a section on the same page.","A link to another page on the same website.","A link that only works inside a company's network.","A link to an external website.","B","Internal links connect pages within the same domain."
3. ,"What is an 'external link'?","A link to an outside website (a different domain).","A link to an image file.","A link that opens in the same tab.","A link that is styled with CSS.","A","External links point to resources on other websites."
3. ,"Which of these creates a valid link to Google's homepage?","<a src=""https://google.com"">Google</a>","<a link=""https://google.com"">Google</a>","<a>https://google.com</a>","<a href=""https://google.com"">Google</a>","D","This shows the correct use of the <a> tag and its 'href' attribute."
3. ,"What does the target=""_self"" attribute do?","Opens the link in a new window.","Opens the link in the parent frame.","Opens the link in the same window/tab (this is the default).","Prevents the link from opening.","C","'_self' is the default behavior, so you usually don't need to specify it."
3. ,"A navigation bar in HTML is typically created using...","A <nav> tag containing an unordered list (<ul>) of links.","A <navigation> tag.","A series of <button> elements.","A <table> with links in each cell.","A","Using a <nav> element with a list of <a> tags is the semantically correct way to create a navigation menu."
3. ,"How would you link to a page named 'about.html' that is in the same directory?","<a href=""about.html"">","<a href=""./about.html"">","<a href=""/about.html"">","Both A and B","D","A filename by itself, or prefixed with './', refers to a file in the current directory."
3. ,"What is a 'dead' or 'broken' link?","A link to a page that no longer exists (a 404 error).","A link that hasn't been styled with CSS.","A link to a PDF file.","A link that doesn't use the 'href' attribute.","A","A broken link points to a resource that cannot be found."
3. ,"The text between the opening <a> and closing </a> tags is called...","The link text or anchor text.","The title.","The alt text.","The URL.","A","This is the clickable part of the hyperlink that is visible to the user."
3. ,"How can you make an image into a link?","<a href=""...""><img src=""...""></a>","<img href=""..."">","<img link=""..."">","<a><img src=""...""></a>","A","You wrap the <img> tag inside an <a> tag to make the entire image clickable."
3. ,"To link to a specific part of 'page2.html' with an id of 'summary', what would the href be?","<a href=""page2.html#summary"">","<a href=""page2.html?id=summary"">","<a href=""#summary@page2.html"">","<a href=""summary#page2.html"">","A","You use the page name followed by a '#' and the id."
3. ,"What is the purpose of a 'sitemap'?","It's a page that contains only images.","It's a visual design of the website.","It's an HTML page that contains links to all other pages on your site, helping with navigation.","It's a map showing the server location.","C","A sitemap provides a structural overview and easy access to all parts of a website."
3. ,"Is it possible to link to a phone number to start a call on mobile devices?","Yes, using href=""tel:..."".","Yes, using href=""call:..."".","Yes, using href=""phone:..."".","No, this is not possible with HTML.","A","The 'tel:' URI scheme allows users to initiate a phone call by clicking a link."
4,"Which tag is used to create an HTML form?","<form>","<input>","<fieldset>","<formdata>","A","The <form> element is a container for all the input elements."
4,"What is the purpose of the <label> tag?","To add a title to the form.","To describe an input element, improving accessibility and usability.","To create a large text input area.","To group related form elements.","B","Clicking on a <label> focuses its corresponding input field."
4,"Which input 'type' creates a single-line text field?","type=""textfield""","type=""text""","type=""string""","type=""line""","B","type=""text"" is the most common input field for names, usernames, etc."
4,"How do you create a button that submits the form data?","<button type=""submit"">Submit</button>","<input type=""submit"" value=""Submit"">","<button>Submit</button>","Both A and B","D","Both <input type=""submit""> and <button type=""submit""> create a submit button for a form."
4,"Which input 'type' is used for selecting one choice from many?","checkbox","radio","select","text","B","Radio buttons in the same 'name' group are mutually exclusive."
4,"Which attribute is used to associate a <label> with an <input> element?","The 'name' attribute on both.","The 'for' attribute on the label and the 'id' on the input.","The 'label' attribute on the input.","The 'connect' attribute on both.","B","For example, <label for=""user""> and <input id=""user""> are linked."
4,"What does the 'placeholder' attribute do?","It provides the default value for the input.","It provides a short hint or example text that appears in the field before the user enters a value.","It's a replacement for a <label>.","It pre-fills the form with data.","B","Placeholder text disappears as soon as the user starts typing."
4,"Which element creates a dropdown list?","<list>","<dropdown>","<input type=""dropdown"">","<select>","D","The <select> tag is used with <option> tags inside it to create the choices."
4,"Which input 'type' allows for selecting zero or more choices from a list?","radio","checkbox","select","multichoice","B","Checkboxes allow users to select multiple options in a set."
4,"To make an input field mandatory, which attribute should you use?","validate","must-fill","required","important","C","'required' is a boolean attribute that enforces the user to fill out the field before submitting."
